Unnamed: 0,type,latitude,longitude,altitude (ft),course,slope (%),distance (mi),distance_interval (ft),name,desc,is_curve,speed,add_curve,remove_curve
182,T,36.999284,-86.3723846,515.5,239.7,-2.3,0.162,5.44,,,False,40,False,False
183,T,36.9992786,-86.3724007,515.4,247.2,-2.0,0.163,5.1,,,False,40,False,False
184,T,36.9992743,-86.3724195,515.3,254.0,-1.7,0.164,5.71,,,False,40,False,False
185,T,36.9992679,-86.3724356,515.2,243.5,-1.8,0.165,5.25,,,False,40,False,False
186,T,36.9992604,-86.3724517,515.1,239.7,-1.7,0.166,5.44,,,False,40,False,False
187,T,36.999255,-86.3724678,515.0,247.2,-1.5,0.167,5.1,,,False,40,False,False
188,T,36.9992508,-86.3724838,514.9,251.8,-1.3,0.168,4.92,,,False,40,False,False
189,T,36.9992443,-86.372504,514.9,248.1,-1.2,0.17,6.36,,,False,40,False,False
190,T,36.9992401,-86.3725187,514.8,250.3,-1.2,0.17,4.56,,,False,40,False,False
191,T,36.9992347,-86.3725402,514.7,252.5,-1.0,0.172,6.58,,,False,40,False,False
192,T,36.9992293,-86.372559,514.7,250.2,-0.9,0.173,5.83,,,False,40,False,False
193,T,36.9992251,-86.3725791,514.6,255.3,-0.8,0.174,6.07,,,False,40,False,False
194,T,36.9992218,-86.3725952,514.6,255.6,-0.7,0.175,4.85,,,False,40,False,False
195,T,36.9992176,-86.3726139,514.6,254.3,-0.6,0.176,5.67,,,False,40,False,False
196,T,36.9992133,-86.3726341,514.6,255.1,-0.5,0.177,6.1,,,False,40,False,False
197,T,36.9992079,-86.3726501,514.5,247.1,-0.6,0.178,5.07,,,False,40,False,False
198,T,36.9992058,-86.3726676,514.5,261.5,-0.9,0.179,5.17,,,False,40,False,False
199,T,36.9992026,-86.3726837,514.4,256.0,-0.7,0.18,4.84,,,False,40,False,False
200,T,36.9991983,-86.3727011,514.4,252.8,-0.7,0.181,5.32,,,False,40,False,False
201,T,36.9991929,-86.3727239,514.4,253.5,-0.7,0.182,6.94,,,False,40,False,False
202,T,36.9991886,-86.3727413,514.3,252.8,-0.7,0.183,5.32,,,False,40,False,False
203,T,36.9991844,-86.3727601,514.3,254.4,-0.7,0.184,5.7,,,False,40,False,False
204,T,36.9991801,-86.3727802,514.2,255.0,-0.7,0.185,6.08,,,False,40,False,False
205,T,36.9991758,-86.372799,514.2,254.0,-0.6,0.187,5.71,,,False,40,False,False
206,T,36.9991726,-86.3728151,514.2,256.0,-0.7,0.187,4.84,,,False,40,False,False
207,T,36.9991683,-86.3728312,514.1,251.5,-0.5,0.188,4.96,,,False,40,False,False
208,T,36.9991651,-86.37285,514.1,258.0,-0.6,0.189,5.61,,,False,40,False,False
209,T,36.9991608,-86.3728701,514.1,255.0,-0.5,0.191,6.08,,,False,40,False,False
210,T,36.9991608,-86.3728822,514.0,270.0,-0.7,0.191,3.53,,,False,40,False,False
